Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62844887,"Trudno powiedzieć. Co nauka mówi o rasie, chorobie, inteligencji i płci",Łukasz Lamża,"Lamża, Łukasz",,"=""8381915880""","=""9788381915885""",5,3.62,Czarne,Paperback,312,2022,2022,2023/03/09,2023/03/06,"bought-in-2023, home-library","bought-in-2023 (#2), home-library (#206)",read,,,,1,0
60159983,Niebezpieczeństwa palenia w łóżku,Mariana Enríquez,"Enríquez, Mariana",Marta Jordan,"=""8382520529""","=""9788382520521""",0,3.82,Echa,Hardcover,368,2022,2009,,2023/08/09,to-read,to-read (#77),to-read,,,,0,0
146626269,Pokrzywa i kość,T. Kingfisher,"Kingfisher, T.",Dominika Schimscheiner,"=""8383301421""","=""9788383301426""",4,4.15,Sine Qua Non,Paperback,352,2023,2022,2023/08/08,2023/08/07,,,read,,,,1,0
123236987,Wcale nie jestem taka,Marie Aubert,"Aubert, Marie",Karolina Drozdowska,"=""""","=""9788396699411""",5,3.74,Wydawnictwo Pauza,Paperback,208,2023,2022,2023/08/07,2023/08/04,,,read,,,,1,0
61047366,Przemieszczenie,Margaryta Yakovenko,"Yakovenko, Margaryta","Agata Ostrowska, Margaryta Jakowenko","=""""","=""9788396481252""",0,4.01,ArtRage,ebook,,2022,2020,,2023/08/07,to-read,to-read (#76),to-read,,,,0,0
58937103,"Krzyczące Schody (Lockwood & Sp., #1)",Jonathan Stroud,"Stroud, Jonathan",Tina Oziewicz,"=""8366555577""","=""9788366555570""",0,4.24,Poradnia K,Paperback,360,2021,2013,,2023/08/07,to-read-with-kids,to-read-with-kids (#31),to-read-with-kids,,,,0,0
43682977,Kawiarnia na końcu świata. Opowieść o sensie życia,John P. Strelecky,"Strelecky, John P.",Alicja Laskowska,"=""8394652867""","=""9788394652869""",2,3.56,Aktywa,Paperback,140,2018,2003,2023/06/18,2023/06/11,,,read,,,,1,0
7890558,Doktor Dolittle i jego zwierzęta,Hugh Lofting,"Lofting, Hugh",Beata Adamczyk,"=""8372989761""","=""9788372989765""",4,3.54,Zysk i S-ka,Paperback,146,2007,1920,2023/05/28,2023/05/28,,,read,,,,1,0
61282444,Arsene Lupin. Dżentelmen włamywacz,Maurice Leblanc,"Leblanc, Maurice",,"=""""","=""""",4,3.65,Świat Książki,,270,2021,,2023/08/05,2023/08/04,,,read,,,,1,0
61409472,Biuro dzieci znalezionych,Andrzej Marek Grabowski,"Grabowski, Andrzej Marek",Joanna Rusinek,"=""""","=""9788382081091""",0,4.33,Literatura,Hardcover,144,2022,2022,,2023/08/04,to-read-with-kids,to-read-with-kids (#30),to-read-with-kids,,,,0,0
63950839,Antosia w Bezkresie,Marcin Szczygielski,"Szczygielski, Marcin",,"=""""","=""9788363841539""",0,4.11,Latarnik,Hardcover,288,2022,,,2023/08/04,to-read-with-kids,to-read-with-kids (#29),to-read-with-kids,,,,0,0
